,DayOfWeek,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
2014-09-07,63,0,0,0,0,0,1
2014-09-08,9,58511,7399,9,0,0,2
2014-09-09,18,51992,6539,9,0,0,2
2014-09-10,27,51128,6472,9,0,0,2
2014-09-11,36,49762,6341,9,0,0,1
2014-09-12,45,49242,6464,9,0,0,1
2014-09-13,54,52785,6406,9,0,0,0
2014-09-14,63,0,0,0,0,0,0
2014-09-15,9,78634,8580,9,9,0,0
2014-09-16,18,65047,7604,9,9,0,0
2014-09-17,27,59892,7142,9,9,0,0
2014-09-18,36,57714,7156,9,9,0,0
2014-09-19,45,59165,7109,9,9,0,0
2014-09-20,54,48946,6117,9,0,0,0
2014-09-21,63,0,0,0,0,0,0
2014-09-22,9,52708,6656,9,0,0,0
2014-09-23,18,49705,6563,9,0,0,0
2014-09-24,27,47841,6307,9,0,0,0
2014-09-25,36,47002,6300,9,0,0,0
2014-09-26,45,50451,6514,9,0,0,0
2014-09-27,54,50634,6234,9,0,0,0
2014-09-28,63,0,0,0,0,0,0
2014-09-29,9,75421,8284,9,9,0,0
2014-09-30,18,77351,8260,9,9,0,0
2014-10-01,27,72162,8212,9,9,0,0
2014-10-02,36,76083,8638,9,9,0,0
2014-10-03,45,0,0,0,9,9,0
2014-10-04,54,63870,7628,9,0,0,0
2014-10-05,63,0,0,0,0,0,0
2014-10-06,9,79045,8729,9,9,0,1
2014-10-07,18,64933,7361,9,9,0,1
2014-10-08,27,64608,7447,9,9,0,1
2014-10-09,36,60670,7392,9,9,0,1
2014-10-10,45,64965,7612,9,9,0,1
2014-10-11,54,49256,6200,9,0,0,0
2014-10-12,63,0,0,0,0,0,0
2014-10-13,9,53974,6860,9,0,0,4
2014-10-14,18,52029,6731,9,0,0,4
2014-10-15,27,50477,6486,9,0,0,4
2014-10-16,36,47695,6230,9,0,0,4
2014-10-17,45,51329,6561,9,0,0,4
2014-10-18,54,50739,6311,9,0,0,0
2014-10-19,63,0,0,0,0,0,0
2014-10-20,9,71075,7947,9,9,0,6
2014-10-21,18,57358,6798,9,9,0,6
2014-10-22,27,53689,6365,9,9,0,6
2014-10-23,36,55971,6950,9,9,0,6
2014-10-24,45,59320,7167,9,9,0,6
2014-10-25,54,47321,5981,9,0,0,0
2014-10-26,63,0,0,0,0,0,0
2014-10-27,9,51289,6726,9,0,0,5
2014-10-28,18,47835,6137,9,0,0,5
2014-10-29,27,49869,6137,9,0,0,5
2014-10-30,36,55141,6644,9,0,0,5
2014-10-31,45,66166,7947,9,0,0,4
2014-11-01,54,45581,5366,7,0,2,0
2014-11-02,63,0,0,0,0,0,0
2014-11-03,9,85412,9105,9,9,0,1
2014-11-04,18,74143,8198,9,9,0,1
2014-11-05,27,66549,7495,9,9,0,1
2014-11-06,36,64259,7550,9,9,0,1
2014-11-07,45,64658,7388,9,9,0,1
2014-11-08,54,55118,6783,9,0,0,0
2014-11-09,63,0,0,0,0,0,0
2014-11-10,9,74408,8234,9,9,0,0
2014-11-11,18,64881,7612,9,9,0,0
2014-11-12,27,61239,7312,9,9,0,0
2014-11-13,36,59809,7251,9,9,0,0
2014-11-14,45,64733,7559,9,9,0,0
2014-11-15,54,55247,6667,9,0,0,0
2014-11-16,63,0,0,0,0,0,0
2014-11-17,9,57228,7288,9,0,0,0
2014-11-18,18,50650,6526,9,0,0,0
2014-11-19,27,50813,6474,9,0,0,0
2014-11-20,36,52987,6705,9,0,0,0
2014-11-21,45,54665,6658,9,0,0,0
2014-11-22,54,54199,6574,9,0,0,0
2014-11-23,63,0,0,0,0,0,0
2014-11-24,9,81889,8616,9,9,0,0
2014-11-25,18,73368,7964,9,9,0,0
2014-11-26,27,70978,7713,9,9,0,0
2014-11-27,36,72654,7941,9,9,0,0
2014-11-28,45,88387,8959,9,9,0,0
2014-11-29,54,77639,8204,9,0,0,0
2014-11-30,63,0,0,0,0,0,0
2014-12-01,9,89189,9118,9,9,0,0
2014-12-02,18,78016,8377,9,9,0,0
2014-12-03,27,75905,8108,9,9,0,0
2014-12-04,36,77385,8254,9,9,0,0
2014-12-05,45,89978,9255,9,9,0,0
2014-12-06,54,63884,7441,9,0,0,0
2014-12-07,63,0,0,0,0,0,0
2014-12-08,9,63101,7564,9,0,0,0
2014-12-09,18,61042,7262,9,0,0,0
2014-12-10,27,56137,6654,9,0,0,0
2014-12-11,36,55122,6740,9,0,0,0
2014-12-12,45,59371,6670,9,0,0,0
2014-12-13,54,67564,7679,9,0,0,0
2014-12-14,63,0,0,0,0,0,0
2014-12-15,9,100575,9743,9,9,0,0
2014-12-16,18,90884,9320,9,9,0,0
2014-12-17,27,81811,8470,9,9,0,0
2014-12-18,36,85250,9103,9,9,0,0
2014-12-19,45,83264,8775,9,9,0,0
2014-12-20,54,73962,8088,9,0,0,0
2014-12-21,63,0,0,0,0,0,0
2014-12-22,9,97012,10432,9,0,0,9
2014-12-23,18,99296,11027,9,0,0,9
2014-12-24,27,48033,5541,9,0,0,9
2014-12-25,36,0,0,0,0,9,9
2014-12-26,45,0,0,0,0,9,9
2014-12-27,54,55250,6775,9,0,0,1
2014-12-28,63,0,0,0,0,0,1
2014-12-29,9,69563,7777,9,0,0,9
2014-12-30,18,74157,8243,9,0,0,9
2014-12-31,27,45840,5276,9,0,0,9
2015-01-01,40,0,0,0,0,10,10
2015-01-02,50,77890,8244,10,0,0,10
2015-01-03,60,65577,7179,10,0,0,0
2015-01-04,70,0,0,0,0,0,0
2015-01-05,10,103512,10245,10,10,0,7
2015-01-06,20,63640,7132,8,10,2,4
2015-01-07,30,81305,8524,10,10,0,0
2015-01-08,40,68724,7399,10,10,0,0
2015-01-09,50,70378,7424,10,10,0,0
2015-01-10,60,65541,7222,10,0,0,0
2015-01-11,70,0,0,0,0,0,0
2015-01-12,10,88257,8919,10,10,0,0
2015-01-13,20,78147,8354,10,10,0,0
2015-01-14,30,72510,7859,10,10,0,0
2015-01-15,40,68581,7436,10,10,0,0
2015-01-16,50,79182,8631,10,10,0,0
2015-01-17,60,66562,7376,10,0,0,0
2015-01-18,70,0,0,0,0,0,0
2015-01-19,10,62406,7686,10,0,0,0
2015-01-20,20,57446,6954,10,0,0,0
2015-01-21,30,59265,7193,10,0,0,0
2015-01-22,40,57862,6973,10,0,0,0
2015-01-23,50,63266,7371,10,0,0,0
2015-01-24,60,60095,6734,10,0,0,0
2015-01-25,70,0,0,0,0,0,0
2015-01-26,10,84197,8713,10,10,0,0
2015-01-27,20,73894,8125,10,10,0,0
2015-01-28,30,71319,7676,10,10,0,0
2015-01-29,40,73428,7854,10,10,0,0
2015-01-30,50,87760,8801,10,10,0,0
2015-01-31,60,72176,7715,10,0,0,0
2015-02-01,70,0,0,0,0,0,0
2015-02-02,10,93247,9406,10,10,0,4
2015-02-03,20,78614,8259,10,10,0,4
2015-02-04,30,76624,8165,10,10,0,3
2015-02-05,40,73405,7996,10,10,0,3
2015-02-06,50,76293,8294,10,10,0,3
2015-02-07,60,64358,7163,10,0,0,0
2015-02-08,70,0,0,0,0,0,0
2015-02-09,10,64306,7807,10,0,0,0
2015-02-10,20,62270,7536,10,0,0,0
2015-02-11,30,62478,7438,10,0,0,0
2015-02-12,40,61261,7353,10,0,0,0
2015-02-13,50,69905,8098,10,0,0,0
2015-02-14,60,68551,7656,10,0,0,0
2015-02-15,70,0,0,0,0,0,0
2015-02-16,10,93799,9388,10,10,0,1
2015-02-17,20,76641,8095,10,10,0,1
2015-02-18,30,73628,7996,10,10,0,1
2015-02-19,40,71336,7846,10,10,0,1
2015-02-20,50,74953,8075,10,10,0,1
2015-02-21,60,64470,7227,10,0,0,0
2015-02-22,70,0,0,0,0,0,0
2015-02-23,10,61755,7411,10,0,0,0
2015-02-24,20,63080,7567,10,0,0,0
2015-02-25,30,60707,7265,10,0,0,0
2015-02-26,40,63822,7478,10,0,0,0
2015-02-27,50,79347,8402,10,0,0,0
2015-02-28,60,78208,8307,10,0,0,0
2015-03-01,70,0,0,0,0,0,0
2015-03-02,10,100836,9950,10,10,0,0
2015-03-03,20,85031,8955,10,10,0,0
2015-03-04,30,77321,8334,10,10,0,0
2015-03-05,40,76851,8494,10,10,0,0
2015-03-06,50,79169,8562,10,10,0,0
2015-03-07,60,68415,7600,10,0,0,0
2015-03-08,70,0,0,0,0,0,0
2015-03-09,10,68017,8141,10,0,0,0
2015-03-10,20,62089,7469,10,0,0,0
2015-03-11,30,62225,7370,10,0,0,0
2015-03-12,40,62750,7415,10,0,0,0
2015-03-13,50,66590,7549,10,0,0,0
2015-03-14,60,67760,7399,10,0,0,0
2015-03-15,70,0,0,0,0,0,0
2015-03-16,10,99679,10075,10,10,0,0
2015-03-17,20,81363,8733,10,10,0,0
2015-03-18,30,75019,8300,10,10,0,0
2015-03-19,40,75256,8250,10,10,0,0
2015-03-20,50,75374,8380,10,10,0,0
2015-03-21,60,65254,7199,10,0,0,0
2015-03-22,70,0,0,0,0,0,0
2015-03-23,10,68598,8112,10,0,0,0
2015-03-24,20,60113,7333,10,0,0,0
2015-03-25,30,61627,7282,10,0,0,1
2015-03-26,40,61147,7231,10,0,0,1
2015-03-27,50,68133,7526,10,0,0,1
2015-03-28,60,69656,7515,10,0,0,1
2015-03-29,70,0,0,0,0,0,1
2015-03-30,10,100232,9381,10,10,0,7
2015-03-31,20,97215,8573,10,10,0,7
2015-04-01,30,105604,9877,10,10,0,10
2015-04-02,40,107254,10791,10,10,0,10
2015-04-03,50,0,0,0,10,10,10
2015-04-04,60,94643,9954,10,0,0,1
2015-04-05,70,0,0,0,0,0,1
2015-04-06,10,0,0,0,0,10,10
2015-04-07,20,79282,8893,10,0,0,10
2015-04-08,30,66233,7741,10,0,0,10
2015-04-09,40,61813,7415,10,0,0,10
2015-04-10,50,63195,7312,10,0,0,10
2015-04-11,60,66594,7340,10,0,0,0
2015-04-12,70,0,0,0,0,0,0
2015-04-13,10,99394,9751,10,10,0,3
2015-04-14,20,81212,8496,10,10,0,3
2015-04-15,30,71726,7908,10,10,0,3
2015-04-16,40,76601,8231,10,10,0,3
2015-04-17,50,79774,8370,10,10,0,3
2015-04-18,60,66989,7521,10,0,0,0
2015-04-19,70,0,0,0,0,0,0
2015-04-20,10,65797,7995,10,0,0,0
2015-04-21,20,58550,7238,10,0,0,0
2015-04-22,30,60669,7304,10,0,0,0
2015-04-23,40,61525,7175,10,0,0,0
2015-04-24,50,62831,7424,10,0,0,0
2015-04-25,60,64926,7285,10,0,0,0
2015-04-26,70,0,0,0,0,0,0
2015-04-27,10,96437,9733,10,10,0,0
2015-04-28,20,82733,8542,10,10,0,0
2015-04-29,30,85975,8860,10,10,0,0
2015-04-30,40,104828,10682,10,10,0,0
2015-05-01,50,0,0,0,10,10,0
2015-05-02,60,92322,9580,10,0,0,0
2015-05-03,70,0,0,0,0,0,0
2015-05-04,10,102013,10331,10,10,0,0
2015-05-05,20,82736,8573,10,10,0,0
2015-05-06,30,82417,8596,10,10,0,0
2015-05-07,40,76069,8304,10,10,0,0
2015-05-08,50,82177,8824,10,10,0,0
2015-05-09,60,72113,7989,10,0,0,0
2015-05-10,70,0,0,0,0,0,0
2015-05-11,10,68066,8047,10,0,0,0
2015-05-12,20,65379,7715,10,0,0,0
2015-05-13,30,80371,9109,10,0,0,0
2015-05-14,40,0,0,0,0,10,0
2015-05-15,50,81235,8847,10,0,0,7
2015-05-16,60,67698,7511,10,0,0,0
2015-05-17,70,0,0,0,0,0,0
2015-05-18,10,95987,9867,10,10,0,0
2015-05-19,20,81728,8497,10,10,0,0
2015-05-20,30,77710,8239,10,10,0,0
2015-05-21,40,78143,8314,10,10,0,0
2015-05-22,50,77749,8453,10,10,0,0
2015-05-23,60,69969,7837,10,0,0,0
2015-05-24,70,0,0,0,0,0,0
2015-05-25,10,0,0,0,0,10,0
2015-05-26,20,78482,8718,10,0,0,7
2015-05-27,30,68017,7617,10,0,0,2
2015-05-28,40,66008,7300,10,0,0,2
2015-05-29,50,80471,8531,10,0,0,2
2015-05-30,60,77337,8057,10,0,0,0
2015-05-31,70,0,0,0,0,0,0
2015-06-01,10,100485,9822,10,10,0,2
2015-06-02,20,87896,8750,10,10,0,2
2015-06-03,30,85155,8804,10,10,0,2
2015-06-04,40,52356,5699,7,10,3,2
2015-06-05,50,87848,9118,10,10,0,2
2015-06-06,60,68278,7462,10,0,0,0
2015-06-07,70,0,0,0,0,0,0
2015-06-08,10,76179,8541,10,0,0,0
2015-06-09,20,66935,7634,10,0,0,0
2015-06-10,30,63653,7467,10,0,0,0
2015-06-11,40,62947,7565,10,0,0,0
2015-06-12,50,67114,7585,10,0,0,0
2015-06-13,60,66692,7220,10,0,0,0
2015-06-14,70,0,0,0,0,0,0
2015-06-15,10,105079,10152,10,10,0,0
2015-06-16,20,87386,8914,10,10,0,0
2015-06-17,30,78024,8268,10,10,0,0
2015-06-18,40,73415,7996,10,10,0,0
2015-06-19,50,80181,8357,10,10,0,0
2015-06-20,60,64920,7188,10,0,0,0
2015-06-21,70,0,0,0,0,0,0
2015-06-22,10,65065,7715,10,0,0,0
2015-06-23,20,58903,6967,10,0,0,0
2015-06-24,30,60847,7216,10,0,0,0
2015-06-25,40,58357,7102,10,0,0,0
2015-06-26,50,62891,7322,10,0,0,0
2015-06-27,60,64467,7247,10,0,0,0
2015-06-28,70,0,0,0,0,0,0
2015-06-29,10,104059,9782,10,10,0,1
2015-06-30,20,103595,9687,10,10,0,1
2015-07-01,30,90256,8978,10,10,0,1
2015-07-02,40,84604,8645,10,10,0,1
2015-07-03,50,84504,8638,10,10,0,1
2015-07-04,60,64801,7098,10,0,0,0
2015-07-05,70,0,0,0,0,0,0
2015-07-06,10,79126,8844,10,0,0,1
2015-07-07,20,66036,7481,10,0,0,1
2015-07-08,30,70816,7940,10,0,0,1
2015-07-09,40,68170,7729,10,0,0,1
2015-07-10,50,70686,7820,10,0,0,1
2015-07-11,60,64727,7039,10,0,0,0
2015-07-12,70,0,0,0,0,0,0
2015-07-13,10,101173,9723,10,10,0,1
2015-07-14,20,85941,8701,10,10,0,1
2015-07-15,30,86886,8831,10,10,0,1
2015-07-16,40,81927,8554,10,10,0,4
2015-07-17,50,77242,8148,10,10,0,4
2015-07-18,60,68540,7364,10,0,0,0
2015-07-19,70,0,0,0,0,0,0
2015-07-20,10,73811,8205,10,0,0,7
2015-07-21,20,62143,7138,10,0,0,7
2015-07-22,30,61235,7055,10,0,0,7
2015-07-23,40,66935,7419,10,0,0,8
2015-07-24,50,63699,7054,10,0,0,8
2015-07-25,60,61679,6718,10,0,0,1
2015-07-26,70,0,0,0,0,0,1
2015-07-27,10,95402,9030,10,10,0,8
2015-07-28,20,82582,8048,10,10,0,8
2015-07-29,30,78795,7851,10,10,0,8
2015-07-30,40,79610,7810,10,10,0,9
2015-07-31,50,96078,9180,10,10,0,9
